clubQid,name,country,tier,venue,capacity,lat,lon,ticketUrl,source,note,_wikidata,_osm,_osmName,_osmTag,_metres,_verdict
Q17321080,DJK Vilzing,DE,,,,,,,,,,,Manfred Zollner Stadion,,0,neither source has a capacity
Q2207914,SSV Jeddeloh,DE,,,,,,,,,,,Haskamp Arena,,0,neither source has a capacity
Q479366,VfB Auerbach,DE,,,,,,,,,,,Arena zur Vogtlandweide,,0,neither source has a capacity
Q16645947,VfL Wolfsburg II,DE,,,,,,,,,,,AOK Stadion,,40,neither source has a capacity
Q2208389,SV Eichede,DE,,,,,,,,,,,,,9975,no stadium in OSM within 500m
Q479321,FV Illertissen,DE,,,,,,,,,,5000,Vöhlinstadion,capacity,0,only OpenStreetMap has a figure
Q15843660,SV Rödinghausen,DE,,,,,,,,,,3140,Häcker-Wiehenstadion,capacity,0,only OpenStreetMap has a figure
Q479340,TSV 1896 Rain,DE,,,,,,,,,,3000,Georg-Weber-Stadion,capacity,0,only OpenStreetMap has a figure
Q5424829,FC Augsburg II,DE,,,,,,,,,26443,28000,Rosenaustadion,capacity,16,sources differ by 6%
Q153539,SpVgg Greuther Fürth,DE,,,,,,,,,16626,18000,Sportpark Ronhof | Thomas Sommer,capacity,19,sources differ by 8%
Q170157,Wuppertaler SV,DE,,,,,,,,,23067,21000,Stadion am Zoo,capacity,14,sources differ by 9%
Q292231,Rodez Aveyron Football,FR,,,,,,,,,,,,,8806,no stadium in OSM within 500m
Q126334,RC Strasbourg Alsace,FR,,,,,,,,,26109,29000,Stade de la Meinau,capacity,176,sources differ by 10%
Q182876,AJ Auxerre,FR,,,,,,,,,18541,21379,Stade Abbé-Deschamps,capacity,5,sources differ by 13%
Q192071,Football Club de Nantes,FR,,,,,,,,,35318,38004,Stade de La Beaujoire - Louis Fonteneau,capacity,11,sources differ by 7%
Q5424763,Avântul Reghin,RO,,,,,,,,,,,Stadionul Municipal Avântul Reghin,,34,neither source has a capacity
Q18537232,Bucovina Rădăuți,RO,,,,,,,,,,,Stadion,,10,neither source has a capacity
Q12723169,CS Afumați,RO,,,,,,,,,,,Stadion Afumați,,1,neither source has a capacity
Q2932010,CS Medgidia,RO,,,,,,,,,,,,,21,neither source has a capacity
Q15920568,CS Național Sebiș,RO,,,,,,,,,,,Stadion,,7,neither source has a capacity
Q1024393,CSM Pașcani,RO,,,,,,,,,,,Stadionul municipal Pașcani,,12,neither source has a capacity
Q1024397,CSM Reșița,RO,,,,,,,,,,,Stadionul Mircea Chivu,,33,neither source has a capacity
Q130302376,CSM Târgu Jiu (fotbal),RO,,,,,,,,,,,Stadionul Constantina Diță-Tomescu,,9,neither source has a capacity
Q5424871,Chindia Târgoviște,RO,,,,,,,,,,,Stadionul Municipal Eugen Popescu,,1,neither source has a capacity
Q1135735,Corvinul Hunedoara,RO,,,,,,,,,,,Stadionul Michael Klein,,27,neither source has a capacity
Q4680389,Dunărea Călărași,RO,,,,,,,,,,,FC Dunărea Călărași,,4,neither source has a capacity
Q4683227,FC Rapid II București,RO,,,,,,,,,,,Stadionul Electromagnetica,,5,neither source has a capacity
Q18129096,FC Voluntari,RO,,,,,,,,,,,Stadionul Voluntari Anghel Iordănescu,,18,neither source has a capacity
Q28230355,Metaloglobus București,RO,,,,,,,,,,,Stadionul Metaloglobus,,84,neither source has a capacity
Q135627364,Minaur Baia Mare,RO,,,,,,,,,,,Stadionul Viorel Mateianu,,27,neither source has a capacity
Q5014471,Victoria Ineu,RO,,,,,,,,,,,Stadionul Ineu,,7,neither source has a capacity
Q4654138,ASC Corona Brașov,RO,,,,,,,,,,,,,2093,no stadium in OSM within 500m
Q5014447,Aerostar Bacău,RO,,,,,,,,,,,,,3093,no stadium in OSM within 500m
Q16850839,CS Știința Miroslava,RO,,,,,,,,,,,,,5979,no stadium in OSM within 500m
Q966392,FC Unirea Dej,RO,,,,,,,,,,,,,7596,no stadium in OSM within 500m
Q23051672,FK Csíkszereda,RO,,,,,,,,,,,,,30859,no stadium in OSM within 500m
